date,indicator,seen
2025-01-01,146.71.50.198,1
2025-01-02,146.71.50.198,0
2025-01-03,146.71.50.198,0
2025-01-04,146.71.50.198,0
2025-01-05,146.71.50.198,1
2025-01-06,146.71.50.198,0
2025-01-07,146.71.50.198,1
2025-01-08,146.71.50.198,0
2025-01-09,146.71.50.198,1
2025-01-10,146.71.50.198,0
2025-01-11,146.71.50.198,0
2025-01-12,146.71.50.198,0
2025-01-13,146.71.50.198,1
2025-01-14,146.71.50.198,0
2025-01-15,146.71.50.198,0
2025-01-16,146.71.50.198,1
2025-01-17,146.71.50.198,0
2025-01-18,146.71.50.198,0
2025-01-19,146.71.50.198,0
2025-01-20,146.71.50.198,0
2025-01-21,146.71.50.198,1
2025-01-22,146.71.50.198,0
2025-01-23,146.71.50.198,0
2025-01-24,146.71.50.198,1
2025-01-25,146.71.50.198,0
2025-01-26,146.71.50.198,1
2025-01-27,146.71.50.198,1
2025-01-28,146.71.50.198,1
2025-01-29,146.71.50.198,0
2025-01-30,146.71.50.198,1
2025-01-31,146.71.50.198,0
2025-02-01,146.71.50.198,0
2025-02-02,146.71.50.198,0
2025-02-03,146.71.50.198,0
2025-02-04,146.71.50.198,0
2025-02-05,146.71.50.198,1
2025-02-06,146.71.50.198,1
2025-02-07,146.71.50.198,1
2025-02-08,146.71.50.198,0
2025-02-09,146.71.50.198,1
2025-02-10,146.71.50.198,0
2025-02-11,146.71.50.198,0
2025-02-12,146.71.50.198,0
2025-02-13,146.71.50.198,0
2025-02-14,146.71.50.198,0
2025-02-15,146.71.50.198,0
2025-02-16,146.71.50.198,0
2025-02-17,146.71.50.198,0
2025-02-18,146.71.50.198,0
2025-02-19,146.71.50.198,0
2025-02-20,146.71.50.198,0
2025-02-21,146.71.50.198,0
2025-02-22,146.71.50.198,0
2025-02-23,146.71.50.198,0
2025-02-24,146.71.50.198,0
2025-02-25,146.71.50.198,0
2025-02-26,146.71.50.198,0
2025-02-27,146.71.50.198,0
2025-02-28,146.71.50.198,1
2025-03-01,146.71.50.198,1
2025-03-02,146.71.50.198,0
2025-03-03,146.71.50.198,1
2025-03-04,146.71.50.198,1
2025-03-05,146.71.50.198,1
2025-03-06,146.71.50.198,1
2025-03-07,146.71.50.198,0
2025-03-08,146.71.50.198,1
2025-03-09,146.71.50.198,1
2025-03-10,146.71.50.198,0
2025-03-11,146.71.50.198,1
2025-03-12,146.71.50.198,0
2025-03-13,146.71.50.198,1
2025-03-14,146.71.50.198,0
2025-03-15,146.71.50.198,1
2025-03-16,146.71.50.198,0
2025-03-17,146.71.50.198,0
2025-03-18,146.71.50.198,1
2025-03-19,146.71.50.198,0
2025-03-20,146.71.50.198,0
2025-03-21,146.71.50.198,0
2025-03-22,146.71.50.198,0
2025-03-23,146.71.50.198,0
2025-03-24,146.71.50.198,0
2025-03-25,146.71.50.198,0
2025-03-26,146.71.50.198,1
2025-03-27,146.71.50.198,0
2025-03-28,146.71.50.198,1
2025-03-29,146.71.50.198,0
2025-03-30,146.71.50.198,0
2025-03-31,146.71.50.198,1
2025-04-01,146.71.50.198,0
2025-04-02,146.71.50.198,1
2025-04-03,146.71.50.198,0
2025-04-04,146.71.50.198,0
2025-04-05,146.71.50.198,0
2025-04-06,146.71.50.198,1
2025-04-07,146.71.50.198,1
2025-04-08,146.71.50.198,0
2025-04-09,146.71.50.198,0
2025-04-10,146.71.50.198,0
2025-04-11,146.71.50.198,0
2025-04-12,146.71.50.198,0
2025-04-13,146.71.50.198,1
2025-04-14,146.71.50.198,0
2025-04-15,146.71.50.198,1
2025-04-16,146.71.50.198,1
2025-04-17,146.71.50.198,0
2025-04-18,146.71.50.198,1
2025-04-19,146.71.50.198,0
2025-04-20,146.71.50.198,1
2025-04-21,146.71.50.198,1
